Model,h(m),hw(m),Alpha,Cohesion,Friction,FOS
modelo_h_01_hwp_010_alpha_20_c_00_phi_25.hjs,1,0.1,20,0,25,1.313440767
modelo_h_01_hwp_010_alpha_20_c_00_phi_30.hjs,1,0.1,20,0,30,1.626303576
modelo_h_01_hwp_010_alpha_20_c_00_phi_35.hjs,1,0.1,20,0,35,1.972441165
modelo_h_01_hwp_010_alpha_20_c_00_phi_40.hjs,1,0.1,20,0,40,2.363821769
modelo_h_01_hwp_010_alpha_20_c_00_phi_45.hjs,1,0.1,20,0,45,2.817114148
modelo_h_01_hwp_010_alpha_20_c_05_phi_15.hjs,1,0.1,20,5,15,2.06679527
modelo_h_01_hwp_010_alpha_20_c_05_phi_20.hjs,1,0.1,20,5,20,2.337063021
modelo_h_01_hwp_010_alpha_20_c_05_phi_25.hjs,1,0.1,20,5,25,2.62518034
modelo_h_01_hwp_010_alpha_20_c_05_phi_30.hjs,1,0.1,20,5,30,2.937853249
modelo_h_01_hwp_010_alpha_20_c_05_phi_35.hjs,1,0.1,20,5,35,3.283901743
modelo_h_01_hwp_010_alpha_20_c_05_phi_40.hjs,1,0.1,20,5,40,3.675089079
modelo_h_01_hwp_010_alpha_20_c_05_phi_45.hjs,1,0.1,20,5,45,4.128272408
modelo_h_01_hwp_010_alpha_20_c_10_phi_15.hjs,1,0.1,20,10,15,3.379770398
modelo_h_01_hwp_010_alpha_20_c_10_phi_20.hjs,1,0.1,20,10,20,3.649882631
modelo_h_01_hwp_010_alpha_20_c_10_phi_25.hjs,1,0.1,20,10,25,3.937893472
modelo_h_01_hwp_010_alpha_20_c_10_phi_30.hjs,1,0.1,20,10,30,4.250413425
modelo_h_01_hwp_010_alpha_20_c_10_phi_35.hjs,1,0.1,20,10,35,4.596244315
modelo_h_01_hwp_010_alpha_20_c_10_phi_40.hjs,1,0.1,20,10,40,4.713648185
modelo_h_01_hwp_010_alpha_20_c_10_phi_45.hjs,1,0.1,20,10,45,4.724061834
modelo_h_01_hwp_010_alpha_20_c_15_phi_15.hjs,1,0.1,20,15,15,4.69295494
modelo_h_01_hwp_010_alpha_20_c_15_phi_20.hjs,1,0.1,20,15,20,4.717035966
modelo_h_01_hwp_010_alpha_20_c_15_phi_25.hjs,1,0.1,20,15,25,4.723323668
modelo_h_01_hwp_010_alpha_20_c_15_phi_30.hjs,1,0.1,20,15,30,4.730226533
modelo_h_01_hwp_010_alpha_20_c_15_phi_35.hjs,1,0.1,20,15,35,4.737970764
modelo_h_01_hwp_010_alpha_20_c_15_phi_40.hjs,1,0.1,20,15,40,4.746863534
modelo_h_01_hwp_010_alpha_20_c_15_phi_45.hjs,1,0.1,20,15,45,4.75566505
modelo_h_01_hwp_010_alpha_20_c_20_phi_15.hjs,1,0.1,20,20,15,4.744308565
modelo_h_01_hwp_010_alpha_20_c_20_phi_20.hjs,1,0.1,20,20,20,4.750128232
modelo_h_01_hwp_010_alpha_20_c_20_phi_25.hjs,1,0.1,20,20,25,4.756411306
modelo_h_01_hwp_010_alpha_20_c_20_phi_30.hjs,1,0.1,20,20,30,4.763090257
modelo_h_01_hwp_010_alpha_20_c_20_phi_35.hjs,1,0.1,20,20,35,4.769579021
modelo_h_01_hwp_010_alpha_20_c_20_phi_40.hjs,1,0.1,20,20,40,4.777055537
modelo_h_01_hwp_010_alpha_20_c_20_phi_45.hjs,1,0.1,20,20,45,4.785915
modelo_h_01_hwp_010_alpha_25_c_00_phi_15.hjs,1,0.1,25,0,15,0.587212999
modelo_h_01_hwp_010_alpha_25_c_00_phi_20.hjs,1,0.1,25,0,20,0.797866569
modelo_h_01_hwp_010_alpha_25_c_00_phi_25.hjs,1,0.1,25,0,25,1.022285392
modelo_h_01_hwp_010_alpha_25_c_00_phi_30.hjs,1,0.1,25,0,30,1.265785616
modelo_h_01_hwp_010_alpha_25_c_00_phi_35.hjs,1,0.1,25,0,35,1.535184072
modelo_h_01_hwp_010_alpha_25_c_00_phi_40.hjs,1,0.1,25,0,40,1.839731313
modelo_h_01_hwp_010_alpha_25_c_00_phi_45.hjs,1,0.1,25,0,45,2.192520697
modelo_h_01_hwp_010_alpha_25_c_05_phi_15.hjs,1,0.1,25,5,15,1.673632721
modelo_h_01_hwp_010_alpha_25_c_05_phi_20.hjs,1,0.1,25,5,20,1.883891701
modelo_h_01_hwp_010_alpha_25_c_05_phi_25.hjs,1,0.1,25,5,25,2.108065073
modelo_h_01_hwp_010_alpha_25_c_05_phi_30.hjs,1,0.1,25,5,30,2.351366841
modelo_h_01_hwp_010_alpha_25_c_05_phi_35.hjs,1,0.1,25,5,35,2.620599193
modelo_h_01_hwp_010_alpha_25_c_05_phi_40.hjs,1,0.1,25,5,40,2.925013984
modelo_h_01_hwp_010_alpha_25_c_05_phi_45.hjs,1,0.1,25,5,45,3.277693286
modelo_h_01_hwp_010_alpha_25_c_10_phi_15.hjs,1,0.1,25,10,15,2.760740945
modelo_h_01_hwp_010_alpha_25_c_10_phi_20.hjs,1,0.1,25,10,20,2.970831721
modelo_h_01_hwp_010_alpha_25_c_10_phi_25.hjs,1,0.1,25,10,25,3.194823199
modelo_h_01_hwp_010_alpha_25_c_10_phi_30.hjs,1,0.1,25,10,30,3.437950521
modelo_h_01_hwp_010_alpha_25_c_10_phi_35.hjs,1,0.1,25,10,35,3.684052456
modelo_h_01_hwp_010_alpha_25_c_10_phi_40.hjs,1,0.1,25,10,40,3.690417903
modelo_h_01_hwp_010_alpha_25_c_10_phi_45.hjs,1,0.1,25,10,45,3.697954711
modelo_h_01_hwp_010_alpha_25_c_15_phi_15.hjs,1,0.1,25,15,15,3.690575316
modelo_h_01_hwp_010_alpha_25_c_15_phi_20.hjs,1,0.1,25,15,20,3.695168162
modelo_h_01_hwp_010_alpha_25_c_15_phi_25.hjs,1,0.1,25,15,25,3.69968449
modelo_h_01_hwp_010_alpha_25_c_15_phi_30.hjs,1,0.1,25,15,30,3.704618034
modelo_h_01_hwp_010_alpha_25_c_15_phi_35.hjs,1,0.1,25,15,35,3.709966449
modelo_h_01_hwp_010_alpha_25_c_15_phi_40.hjs,1,0.1,25,15,40,3.715261536
modelo_h_01_hwp_010_alpha_25_c_15_phi_45.hjs,1,0.1,25,15,45,3.72155304
modelo_h_01_hwp_010_alpha_25_c_20_phi_15.hjs,1,0.1,25,20,15,3.714783491
modelo_h_01_hwp_010_alpha_25_c_20_phi_20.hjs,1,0.1,25,20,20,3.719367426
modelo_h_01_hwp_010_alpha_25_c_20_phi_25.hjs,1,0.1,25,20,25,3.724386159
modelo_h_01_hwp_010_alpha_25_c_20_phi_30.hjs,1,0.1,25,20,30,3.728757935
modelo_h_01_hwp_010_alpha_25_c_20_phi_35.hjs,1,0.1,25,20,35,3.733327358
modelo_h_01_hwp_010_alpha_25_c_20_phi_40.hjs,1,0.1,25,20,40,3.738631594
modelo_h_01_hwp_010_alpha_25_c_20_phi_45.hjs,1,0.1,25,20,45,3.744968626
modelo_h_01_hwp_010_alpha_30_c_00_phi_15.hjs,1,0.1,30,0,15,0.474643744
modelo_h_01_hwp_010_alpha_30_c_00_phi_20.hjs,1,0.1,30,0,20,0.645336152
modelo_h_01_hwp_010_alpha_30_c_00_phi_25.hjs,1,0.1,30,0,25,0.827217478
modelo_h_01_hwp_010_alpha_30_c_00_phi_30.hjs,1,0.1,30,0,30,1.024528015
modelo_h_01_hwp_010_alpha_30_c_00_phi_35.hjs,1,0.1,30,0,35,1.242780503
modelo_h_01_hwp_010_alpha_30_c_00_phi_40.hjs,1,0.1,30,0,40,1.489456296
modelo_h_01_hwp_010_alpha_30_c_00_phi_45.hjs,1,0.1,30,0,45,1.77513896
modelo_h_01_hwp_010_alpha_30_c_05_phi_15.hjs,1,0.1,30,5,15,1.611277951
modelo_h_01_hwp_010_alpha_30_c_05_phi_20.hjs,1,0.1,30,5,20,1.78637276
modelo_h_01_hwp_010_alpha_30_c_05_phi_25.hjs,1,0.1,30,5,25,1.972924117
modelo_h_01_hwp_010_alpha_30_c_05_phi_30.hjs,1,0.1,30,5,30,2.175288275
modelo_h_01_hwp_010_alpha_30_c_05_phi_35.hjs,1,0.1,30,5,35,2.399129992
modelo_h_01_hwp_010_alpha_30_c_05_phi_40.hjs,1,0.1,30,5,40,2.652132678
modelo_h_01_hwp_010_alpha_30_c_05_phi_45.hjs,1,0.1,30,5,45,2.945166487
modelo_h_01_hwp_010_alpha_30_c_10_phi_15.hjs,1,0.1,30,10,15,2.733729569
modelo_h_01_hwp_010_alpha_30_c_10_phi_20.hjs,1,0.1,30,10,20,2.908980214
modelo_h_01_hwp_010_alpha_30_c_10_phi_25.hjs,1,0.1,30,10,25,2.981004732
modelo_h_01_hwp_010_alpha_30_c_10_phi_30.hjs,1,0.1,30,10,30,2.986584648
modelo_h_01_hwp_010_alpha_30_c_10_phi_35.hjs,1,0.1,30,10,35,2.990221357
modelo_h_01_hwp_010_alpha_30_c_10_phi_40.hjs,1,0.1,30,10,40,2.99407173
modelo_h_01_hwp_010_alpha_30_c_10_phi_45.hjs,1,0.1,30,10,45,2.998638628
modelo_h_01_hwp_010_alpha_30_c_15_phi_15.hjs,1,0.1,30,15,15,2.995130168
modelo_h_01_hwp_010_alpha_30_c_15_phi_20.hjs,1,0.1,30,15,20,3.000300538
modelo_h_01_hwp_010_alpha_30_c_15_phi_25.hjs,1,0.1,30,15,25,3.003486876
modelo_h_01_hwp_010_alpha_30_c_15_phi_30.hjs,1,0.1,30,15,30,3.006347657
modelo_h_01_hwp_010_alpha_30_c_15_phi_35.hjs,1,0.1,30,15,35,3.009117548
modelo_h_01_hwp_010_alpha_30_c_15_phi_40.hjs,1,0.1,30,15,40,3.012331088
modelo_h_01_hwp_010_alpha_30_c_15_phi_45.hjs,1,0.1,30,15,45,3.016160979
modelo_h_01_hwp_010_alpha_30_c_20_phi_15.hjs,1,0.1,30,20,15,3.017253196
modelo_h_01_hwp_010_alpha_30_c_20_phi_20.hjs,1,0.1,30,20,20,3.018939994
modelo_h_01_hwp_010_alpha_30_c_20_phi_25.hjs,1,0.1,30,20,25,3.020689608
modelo_h_01_hwp_010_alpha_30_c_20_phi_30.hjs,1,0.1,30,20,30,3.022657826
modelo_h_01_hwp_010_alpha_30_c_20_phi_35.hjs,1,0.1,30,20,35,3.024914015
modelo_h_01_hwp_010_alpha_30_c_20_phi_40.hjs,1,0.1,30,20,40,3.027520995
modelo_h_01_hwp_010_alpha_30_c_20_phi_45.hjs,1,0.1,30,20,45,3.030495582
modelo_h_01_hwp_010_alpha_35_c_00_phi_15.hjs,1,0.1,35,0,15,0.388051336
modelo_h_01_hwp_010_alpha_35_c_00_phi_20.hjs,1,0.1,35,0,20,0.527612627
modelo_h_01_hwp_010_alpha_35_c_00_phi_25.hjs,1,0.1,35,0,25,0.676320492
modelo_h_01_hwp_010_alpha_35_c_00_phi_30.hjs,1,0.1,35,0,30,0.837641166
modelo_h_01_hwp_010_alpha_35_c_00_phi_35.hjs,1,0.1,35,0,35,1.016086987
modelo_h_01_hwp_010_alpha_35_c_00_phi_40.hjs,1,0.1,35,0,40,1.217768161
modelo_h_01_hwp_010_alpha_35_c_00_phi_45.hjs,1,0.1,35,0,45,1.451341607
modelo_h_01_hwp_010_alpha_35_c_05_phi_15.hjs,1,0.1,35,5,15,1.328174861
modelo_h_01_hwp_010_alpha_35_c_05_phi_20.hjs,1,0.1,35,5,20,1.472035032
modelo_h_01_hwp_010_alpha_35_c_05_phi_25.hjs,1,0.1,35,5,25,1.625298481
modelo_h_01_hwp_010_alpha_35_c_05_phi_30.hjs,1,0.1,35,5,30,1.79154461
modelo_h_01_hwp_010_alpha_35_c_05_phi_35.hjs,1,0.1,35,5,35,1.975427364
modelo_h_01_hwp_010_alpha_35_c_05_phi_40.hjs,1,0.1,35,5,40,2.183258367
modelo_h_01_hwp_010_alpha_35_c_05_phi_45.hjs,1,0.1,35,5,45,2.423967145
modelo_h_01_hwp_010_alpha_35_c_10_phi_15.hjs,1,0.1,35,10,15,2.254498732
modelo_h_01_hwp_010_alpha_35_c_10_phi_20.hjs,1,0.1,35,10,20,2.398524092
modelo_h_01_hwp_010_alpha_35_c_10_phi_25.hjs,1,0.1,35,10,25,2.475069802
modelo_h_01_hwp_010_alpha_35_c_10_phi_30.hjs,1,0.1,35,10,30,2.476577402
modelo_h_01_hwp_010_alpha_35_c_10_phi_35.hjs,1,0.1,35,10,35,2.478252425
modelo_h_01_hwp_010_alpha_35_c_10_phi_40.hjs,1,0.1,35,10,40,2.480158749
modelo_h_01_hwp_010_alpha_35_c_10_phi_45.hjs,1,0.1,35,10,45,2.48238665
modelo_h_01_hwp_010_alpha_35_c_15_phi_15.hjs,1,0.1,35,15,15,2.483083748
modelo_h_01_hwp_010_alpha_35_c_15_phi_20.hjs,1,0.1,35,15,20,2.484167536
modelo_h_01_hwp_010_alpha_35_c_15_phi_25.hjs,1,0.1,35,15,25,2.48535242
modelo_h_01_hwp_010_alpha_35_c_15_phi_30.hjs,1,0.1,35,15,30,2.48666963
modelo_h_01_hwp_010_alpha_35_c_15_phi_35.hjs,1,0.1,35,15,35,2.488162587
modelo_h_01_hwp_010_alpha_35_c_15_phi_40.hjs,1,0.1,35,15,40,2.489892551
modelo_h_01_hwp_010_alpha_35_c_15_phi_45.hjs,1,0.1,35,15,45,2.491949304
modelo_h_01_hwp_010_alpha_35_c_20_phi_15.hjs,1,0.1,35,20,15,2.493778749
modelo_h_01_hwp_010_alpha_35_c_20_phi_20.hjs,1,0.1,35,20,20,2.494648153
modelo_h_01_hwp_010_alpha_35_c_20_phi_25.hjs,1,0.1,35,20,25,2.495632124
modelo_h_01_hwp_010_alpha_35_c_20_phi_30.hjs,1,0.1,35,20,30,2.496759371
modelo_h_01_hwp_010_alpha_35_c_20_phi_35.hjs,1,0.1,35,20,35,2.498070114
modelo_h_01_hwp_010_alpha_35_c_20_phi_40.hjs,1,0.1,35,20,40,2.499623878
modelo_h_01_hwp_010_alpha_35_c_20_phi_45.hjs,1,0.1,35,20,45,2.501507452
modelo_h_01_hwp_010_alpha_40_c_00_phi_15.hjs,1,0.1,40,0,15,0.322118362
modelo_h_01_hwp_010_alpha_40_c_00_phi_20.hjs,1,0.1,40,0,20,0.437961245
modelo_h_01_hwp_010_alpha_40_c_00_phi_25.hjs,1,0.1,40,0,25,0.561395917
modelo_h_01_hwp_010_alpha_40_c_00_phi_30.hjs,1,0.1,40,0,30,0.695300956
modelo_h_01_hwp_010_alpha_40_c_00_phi_35.hjs,1,0.1,40,0,35,0.843419508
modelo_h_01_hwp_010_alpha_40_c_00_phi_40.hjs,1,0.1,40,0,40,1.010830752
modelo_h_01_hwp_010_alpha_40_c_00_phi_45.hjs,1,0.1,40,0,45,1.204711737
modelo_h_01_hwp_010_alpha_40_c_05_phi_15.hjs,1,0.1,40,5,15,1.400835577
modelo_h_01_hwp_010_alpha_40_c_05_phi_20.hjs,1,0.1,40,5,20,1.518317531
modelo_h_01_hwp_010_alpha_40_c_05_phi_25.hjs,1,0.1,40,5,25,1.643492892
modelo_h_01_hwp_010_alpha_40_c_05_phi_30.hjs,1,0.1,40,5,30,1.779282151
modelo_h_01_hwp_010_alpha_40_c_05_phi_35.hjs,1,0.1,40,5,35,1.92948401
modelo_h_01_hwp_010_alpha_40_c_05_phi_40.hjs,1,0.1,40,5,40,2.072553059
modelo_h_01_hwp_010_alpha_40_c_05_phi_45.hjs,1,0.1,40,5,45,2.074236263
modelo_h_01_hwp_010_alpha_40_c_10_phi_15.hjs,1,0.1,40,10,15,2.074910688
modelo_h_01_hwp_010_alpha_40_c_10_phi_20.hjs,1,0.1,40,10,20,2.075778437
modelo_h_01_hwp_010_alpha_40_c_10_phi_25.hjs,1,0.1,40,10,25,2.076709202
modelo_h_01_hwp_010_alpha_40_c_10_phi_30.hjs,1,0.1,40,10,30,2.07772436
modelo_h_01_hwp_010_alpha_40_c_10_phi_35.hjs,1,0.1,40,10,35,2.078852965
modelo_h_01_hwp_010_alpha_40_c_10_phi_40.hjs,1,0.1,40,10,40,2.080123944
modelo_h_01_hwp_010_alpha_40_c_10_phi_45.hjs,1,0.1,40,10,45,2.081531142
modelo_h_01_hwp_010_alpha_40_c_15_phi_15.hjs,1,0.1,40,15,15,2.083267712
modelo_h_01_hwp_010_alpha_40_c_15_phi_20.hjs,1,0.1,40,15,20,2.083863313
modelo_h_01_hwp_010_alpha_40_c_15_phi_25.hjs,1,0.1,40,15,25,2.08453408
modelo_h_01_hwp_010_alpha_40_c_15_phi_30.hjs,1,0.1,40,15,30,2.085296249
modelo_h_01_hwp_010_alpha_40_c_15_phi_35.hjs,1,0.1,40,15,35,2.086174626
modelo_h_01_hwp_010_alpha_40_c_15_phi_40.hjs,1,0.1,40,15,40,2.087203397
modelo_h_01_hwp_010_alpha_40_c_15_phi_45.hjs,1,0.1,40,15,45,2.088433874
modelo_h_01_hwp_010_alpha_40_c_20_phi_15.hjs,1,0.1,40,20,15,2.091323268
modelo_h_01_hwp_010_alpha_40_c_20_phi_20.hjs,1,0.1,40,20,20,2.091699441
modelo_h_01_hwp_010_alpha_40_c_20_phi_25.hjs,1,0.1,40,20,25,2.092166398
modelo_h_01_hwp_010_alpha_40_c_20_phi_30.hjs,1,0.1,40,20,30,2.0927368
modelo_h_01_hwp_010_alpha_40_c_20_phi_35.hjs,1,0.1,40,20,35,2.093430722
modelo_h_01_hwp_010_alpha_40_c_20_phi_40.hjs,1,0.1,40,20,40,2.094280267
modelo_h_01_hwp_010_alpha_40_c_20_phi_45.hjs,1,0.1,40,20,45,2.095334393
modelo_h_01_hwp_010_alpha_45_c_00_phi_15.hjs,1,0.1,45,0,15,0.269439535
modelo_h_01_hwp_010_alpha_45_c_00_phi_20.hjs,1,0.1,45,0,20,0.366314542
modelo_h_01_hwp_010_alpha_45_c_00_phi_25.hjs,1,0.1,45,0,25,0.469539229
modelo_h_01_hwp_010_alpha_45_c_00_phi_30.hjs,1,0.1,45,0,30,0.581521673
modelo_h_01_hwp_010_alpha_45_c_00_phi_35.hjs,1,0.1,45,0,35,0.705392942
modelo_h_01_hwp_010_alpha_45_c_00_phi_40.hjs,1,0.1,45,0,40,0.845395992
modelo_h_01_hwp_010_alpha_45_c_00_phi_45.hjs,1,0.1,45,0,45,1.007558158
modelo_h_01_hwp_010_alpha_45_c_05_phi_15.hjs,1,0.1,45,5,15,1.228710521
modelo_h_01_hwp_010_alpha_45_c_05_phi_20.hjs,1,0.1,45,5,20,1.327175393
modelo_h_01_hwp_010_alpha_45_c_05_phi_25.hjs,1,0.1,45,5,25,1.432082407
modelo_h_01_hwp_010_alpha_45_c_05_phi_30.hjs,1,0.1,45,5,30,1.545880927
modelo_h_01_hwp_010_alpha_45_c_05_phi_35.hjs,1,0.1,45,5,35,1.671754706
modelo_h_01_hwp_010_alpha_45_c_05_phi_40.hjs,1,0.1,45,5,40,1.755653995
modelo_h_01_hwp_010_alpha_45_c_05_phi_45.hjs,1,0.1,45,5,45,1.756829789
modelo_h_01_hwp_010_alpha_45_c_10_phi_15.hjs,1,0.1,45,10,15,1.759780827
modelo_h_01_hwp_010_alpha_45_c_10_phi_20.hjs,1,0.1,45,10,20,1.760326928
modelo_h_01_hwp_010_alpha_45_c_10_phi_25.hjs,1,0.1,45,10,25,1.760924532
modelo_h_01_hwp_010_alpha_45_c_10_phi_30.hjs,1,0.1,45,10,30,1.761585452
modelo_h_01_hwp_010_alpha_45_c_10_phi_35.hjs,1,0.1,45,10,35,1.762327699
modelo_h_01_hwp_010_alpha_45_c_10_phi_40.hjs,1,0.1,45,10,40,1.763175924
modelo_h_01_hwp_010_alpha_45_c_10_phi_45.hjs,1,0.1,45,10,45,1.764165592
modelo_h_01_hwp_010_alpha_45_c_15_phi_15.hjs,1,0.1,45,15,15,1.767289206
modelo_h_01_hwp_010_alpha_45_c_15_phi_20.hjs,1,0.1,45,15,20,1.767380138
modelo_h_01_hwp_010_alpha_45_c_15_phi_25.hjs,1,0.1,45,15,25,1.767564926
modelo_h_01_hwp_010_alpha_45_c_15_phi_30.hjs,1,0.1,45,15,30,1.767840738
modelo_h_01_hwp_010_alpha_45_c_15_phi_35.hjs,1,0.1,45,15,35,1.768213929
modelo_h_01_hwp_010_alpha_45_c_15_phi_40.hjs,1,0.1,45,15,40,1.768699239
modelo_h_01_hwp_010_alpha_45_c_15_phi_45.hjs,1,0.1,45,15,45,1.76932362
modelo_h_01_hwp_010_alpha_45_c_20_phi_15.hjs,1,0.1,45,20,15,1.772729212
modelo_h_01_hwp_010_alpha_45_c_20_phi_20.hjs,1,0.1,45,20,20,1.772587211
modelo_h_01_hwp_010_alpha_45_c_20_phi_25.hjs,1,0.1,45,20,25,1.772568981
modelo_h_01_hwp_010_alpha_45_c_20_phi_30.hjs,1,0.1,45,20,30,1.772663151
modelo_h_01_hwp_010_alpha_45_c_20_phi_35.hjs,1,0.1,45,20,35,1.77287071
modelo_h_01_hwp_010_alpha_45_c_20_phi_40.hjs,1,0.1,45,20,40,1.773201992
modelo_h_01_hwp_010_alpha_45_c_20_phi_45.hjs,1,0.1,45,20,45,1.773680971
modelo_h_01_hwp_010_alpha_50_c_00_phi_15.hjs,1,0.1,50,0,15,0.22561388
modelo_h_01_hwp_010_alpha_50_c_00_phi_20.hjs,1,0.1,50,0,20,0.306710738
modelo_h_01_hwp_010_alpha_50_c_00_phi_25.hjs,1,0.1,50,0,25,0.393123942
modelo_h_01_hwp_010_alpha_50_c_00_phi_30.hjs,1,0.1,50,0,30,0.486870039
modelo_h_01_hwp_010_alpha_50_c_00_phi_35.hjs,1,0.1,50,0,35,0.590570854
modelo_h_01_hwp_010_alpha_50_c_00_phi_40.hjs,1,0.1,50,0,40,0.707782655
modelo_h_01_hwp_010_alpha_50_c_00_phi_45.hjs,1,0.1,50,0,45,0.843532556
modelo_h_01_hwp_010_alpha_50_c_05_phi_15.hjs,1,0.1,50,5,15,1.066393332
modelo_h_01_hwp_010_alpha_50_c_05_phi_20.hjs,1,0.1,50,5,20,1.149137503
modelo_h_01_hwp_010_alpha_50_c_05_phi_25.hjs,1,0.1,50,5,25,1.237264187
modelo_h_01_hwp_010_alpha_50_c_05_phi_30.hjs,1,0.1,50,5,30,1.332846981
modelo_h_01_hwp_010_alpha_50_c_05_phi_35.hjs,1,0.1,50,5,35,1.438565767
modelo_h_01_hwp_010_alpha_50_c_05_phi_40.hjs,1,0.1,50,5,40,1.489639581
modelo_h_01_hwp_010_alpha_50_c_05_phi_45.hjs,1,0.1,50,5,45,1.490292542
modelo_h_01_hwp_010_alpha_50_c_10_phi_15.hjs,1,0.1,50,10,15,1.493135599
modelo_h_01_hwp_010_alpha_50_c_10_phi_20.hjs,1,0.1,50,10,20,1.493269672
modelo_h_01_hwp_010_alpha_50_c_10_phi_25.hjs,1,0.1,50,10,25,1.493469627
modelo_h_01_hwp_010_alpha_50_c_10_phi_30.hjs,1,0.1,50,10,30,1.493731412
modelo_h_01_hwp_010_alpha_50_c_10_phi_35.hjs,1,0.1,50,10,35,1.494057233
modelo_h_01_hwp_010_alpha_50_c_10_phi_40.hjs,1,0.1,50,10,40,1.494455198
modelo_h_01_hwp_010_alpha_50_c_10_phi_45.hjs,1,0.1,50,10,45,1.494940798
modelo_h_01_hwp_010_alpha_50_c_15_phi_15.hjs,1,0.1,50,15,15,1.499000917
modelo_h_01_hwp_010_alpha_50_c_15_phi_20.hjs,1,0.1,50,15,20,1.498870944
modelo_h_01_hwp_010_alpha_50_c_15_phi_25.hjs,1,0.1,50,15,25,1.498843245
modelo_h_01_hwp_010_alpha_50_c_15_phi_30.hjs,1,0.1,50,15,30,1.498902787
modelo_h_01_hwp_010_alpha_50_c_15_phi_35.hjs,1,0.1,50,15,35,1.499043563
modelo_h_01_hwp_010_alpha_50_c_15_phi_40.hjs,1,0.1,50,15,40,1.499267778
modelo_h_01_hwp_010_alpha_50_c_15_phi_45.hjs,1,0.1,50,15,45,1.499585785
